"CITY_ID","COUNTY_ID","DISTRICT_ID","CITY_NAME","NATIVE_ID"
78582,111,7,"Thousand Oaks","THOK"
65042,111,7,"Ventura","VEN"
3820,65,8,"Banning","BAN"
4758,65,8,"Beaumont","BAU"
7218,65,8,"Blythe","BLY"
9864,65,8,"Calimesa","CMSA"
10928,65,8,"Canyon Lake","CNLK"
12048,65,8,"Cathedral City","CTHC"
14260,65,8,"Coachella","COA"
16350,65,8,"Corona","COR"
18996,65,8,"Desert Hot Springs","DHSP"
33182,65,8,"Hemet","HEM"
36434,65,8,"Indian Wells","INDW"
36448,65,8,"Indio","IND"
40354,65,8,"La Quinta","LQNT"
39486,65,8,"Lake Elsinore","ESN"
49270,65,8,"Moreno Valley","MORV"
50076,65,8,"Murrieta","MRTA"
51560,65,8,"Norco","NRCO"
55184,65,8,"Palm Desert","PDST"
55254,65,8,"Palm Springs","PSP"
56700,65,8,"Perris","PER"
59500,65,8,"Rancho Mirage","RMIR"
62000,65,8,"Riverside","RIV"
67112,65,8,"San Jacinto","SJC"
78120,65,8,"Temecula","TMCA"
296,71,8,"Adelanto","ADEL"
2364,71,8,"Apple Valley","APLV"
4030,71,8,"Barstow","BSW"
6392,71,8,"Big Bear Lake","BBL"
13210,71,8,"Chino","CHN"
13214,71,8,"Chino Hills","CHNH"
14890,71,8,"Colton","COL"
24680,71,8,"Fontana","FNA"
30658,71,8,"Grand Terrace","GRTR"
33434,71,8,"Hesperia","HES"
33588,71,8,"Highland","HIGH"
42370,71,8,"Loma Linda","LMLN"
48788,71,8,"Montclair","MCL"
50734,71,8,"Needles","NED"
53896,71,8,"Ontario","ONT"
59451,71,8,"Rancho Cucamonga","RCUC"
59962,71,8,"Redlands","RDL"
60466,71,8,"Rialto","RIA"
65000,71,8,"San Bernardino","SBD"
80994,71,8,"Twentynine Palms","TNP"
81344,71,8,"Upland","UPL"
82590,71,8,"Victorville","VCTV"
93850,71,8,"Yucaipa","YCPA"
87056,71,8,"Yucca Valley","YUCV"
45358,51,9,"Mammoth Lakes","MMLK"
6798,27,9,"Bishop","BIS"
1514,5,10,"Amador City","AMA"
36672,5,10,"Ione","ION"
36980,5,10,"Jackson","JKN"
57834,5,10,"Plymouth","PLY"
77392,5,10,"Sutter Creek","STCK"
2112,9,10,"Angels","ANG"
3162,47,10,"Atwater","ATW"
19612,47,10,"Dos Palos","DPLS"
31568,47,10,"Gustine City","GUS"
42006,47,10,"Livingston","LVTN"
44028,47,10,"Los Banos","LBNS"
46898,47,10,"Merced","MER"
22790,77,10,"Escalon","ESL"
40704,77,10,"Lathrop","LTRP"
42202,77,10,"Lodi","LOD"
45484,77,10,"Manteca","MTCA"
61026,77,10,"Ripon","RIP"
75000,77,10,"Stockton","STKN"
80238,77,10,"Tracy","TRA"
12524,99,10,"Ceres","CER"
34904,99,10,"Hughson","HUSN"
48354,99,10,"Modesto","MOD"
51140,99,10,"Newman","NEWM"
52694,99,10,"Oakdale","OKDL"
56112,99,10,"Patterson","PAT"
61068,99,10,"Riverbank","RVBK"
80812,99,10,"Turlock","TUR"
83612,99,10,"Waterford","WTRF"
72674,109,10,"Sonora","SRA"
9710,25,11,"Calexico","CLX"
9878,25,11,"Calipatria","CLP"
8058,25,11,"Brawley","BRW"
21782,25,11,"El Centro","ECN"
34246,25,11,"Holtville","HOLT"
36280,25,11,"Imperial","IMP"
84606,25,11,"Westmorland","WMD"
11194,73,11,"Carlsbad","CBD"
13392,73,11,"Chula Vista","CHV"
16378,73,11,"Coronado","CORD"
18506,73,11,"Del Mar","DLMR"
21712,73,11,"El Cajon","ECJ"
22678,73,11,"Encinitas","ENTS"
22804,73,11,"Escondido","ESD"
36294,73,11,"Imperial Beach","IMB"
41124,73,11,"Lemon Grove","LMGR"
40004,73,11,"La Mesa","LMSA"
50398,73,11,"National City","NATC"
53322,73,11,"Oceanside","OCN"
58520,73,11,"Poway","PWY"
66000,73,11,"San Diego","SD"
68196,73,11,"San Marcos","SMCS"
70224,73,11,"Santee","SNT"
72506,73,11,"Solana Beach","SOLB"
82996,73,11,"Vista","VSTA"
2000,59,12,"Anaheim","ANA"
8100,59,12,"Brea","BRE"
8786,59,12,"Buena Park","BPK"
16532,59,12,"Costa Mesa","CMS"
17750,59,12,"Cypress","CYP"
17946,59,12,"Dana Point","DAPT"
25380,59,12,"Fountain Valley","FNV"
28000,59,12,"Fullerton","FUL"
29000,59,12,"Garden Grove","GGR"
36000,59,12,"Huntington Beach","HNTB"
36770,59,12,"Irvine","IRVN"
39290,59,12,"La Habra","LHB"
40256,59,12,"La Palma","LPMA"
39178,59,12,"Laguna Beach","LGNB"
39220,59,12,"Laguna Hills","LGNH"
39248,59,12,"Laguna Niguel","LGNG"
39496,59,12,"Lake Forest","LKFR"
43224,59,12,"Los Alamitos","LALM"
48256,59,12,"Mission Viejo","MSNV"
51182,59,12,"Newport Beach","NPTB"
53980,59,12,"Orange","ORA"
57526,59,12,"Placentia","PLCN"
59587,59,12,"Rancho Santa Margarita","RSM"
65084,59,12,"San Clemente","SCLE"
68028,59,12,"San Juan Capistrano","SJCP"
69000,59,12,"Santa Ana","SA"
70686,59,12,"Seal Beach","SLB"
73962,59,12,"Stanton","STT"
80854,59,12,"Tustin","TUS"
82744,59,12,"Villa Park","VLPK"
84550,59,12,"Westminster","WTM"
86832,59,12,"Yorba Linda","YBLN"
17022,15,1,"Crescent City","CRC"
2476,23,1,"Arcata","ARC"
7162,23,1,"Blue Lake","BLK"
23042,23,1,"Eureka","EUR"
23910,23,1,"Ferndale","FER"
25296,23,1,"Fortuna","FTA"
60900,23,1,"Rio Dell","RDEL"
80448,23,1,"Trinidad","TRND"
13945,33,1,"Clearlake","CLLK"
39710,33,1,"Lakeport","LKPT"
25058,45,1,"Fort Bragg","FBG"
57876,45,1,"Point Arena","PTA"
81134,45,1,"Ukiah","UKI"
85600,45,1,"Willits","WLTS"
77364,35,2,"Susanville","SUSV"
1444,49,2,"Alturas","ALT"
58352,63,2,"Portola","PRTL"
2042,89,2,"Anderson","AND"
59920,89,2,"Redding","RDG"
71225,89,2,"Shasta Lake","SHLK"
19584,93,2,"Dorris","DRS"
20242,93,2,"Dunsmuir","DMR"
22972,93,2,"Etna","ETN"
25128,93,2,"Fort Jones","FJN"
48690,93,2,"Montague","MNTG"
49852,93,2,"Mount Shasta","MSHA"
80686,93,2,"Tulelake","TLK"
83850,93,2,"Weed","WEED"
86944,93,2,"Yreka City","YRE"
16322,103,2,"Corning","CNG"
59892,103,2,"Red Bluff","RBL"
78106,103,2,"Tehama","TEH"
24638,67,3,"Folsom","FOL"
28112,67,3,"Galt","GAL"
36882,67,3,"Isleton","IST"
64000,67,3,"Sacramento","SAC"
18100,113,3,"Davis","DVS"
22020,67,3,"Elk Grove","ELKG"
6560,7,3,"Biggs","BIG"
13014,7,3,"Chico","CHC"
31260,7,3,"Gridley","GRD"
54386,7,3,"Oroville","OVL"
55520,7,3,"Paradise","PRDS"
14946,11,3,"Colusa","CLU"
85586,11,3,"Williams","WMS"
57540,17,3,"Placerville","PLCR"
73108,17,3,"South Lake Tahoe","SLTO"
54274,21,3,"Orland","ORL"
85684,21,3,"Willows","WLOS"
30798,57,3,"Grass Valley","GVY"
50874,57,3,"Nevada City","NEVC"
80588,57,3,"Truckee","TRK"
3204,61,3,"Auburn","AUB"
14498,61,3,"Colfax","CFX"
41474,61,3,"Lincoln","LNCN"
43140,61,3,"Loomis","LMS"
62364,61,3,"Rocklin","ROC"
62938,61,3,"Roseville","RSV"
44364,91,3,"Loyalton","LOY"
41936,101,3,"Live Oak","LIO"
86972,101,3,"Yuba City","YC"
84816,113,3,"West Sacramento","WSAC"
86328,113,3,"Woodland","WD"
86034,113,3,"Winters","WIN"
46170,115,3,"Marysville","MVL"
85012,115,3,"Wheatland","WHT"
562,1,4,"Alameda","ALA"
674,1,4,"Albany","ALB"
6000,1,4,"Berkeley","BER"
20018,1,4,"Dublin","DBLN"
22594,1,4,"Emeryville","EMV"
26000,1,4,"Fremont","FMT"
33000,1,4,"Hayward","HAY"
41992,1,4,"Livermore","LVMR"
50916,1,4,"Newark","NWK"
53000,1,4,"Oakland","OAK"
56938,1,4,"Piedmont","PDMT"
57792,1,4,"Pleasanton","PLE"
68084,1,4,"San Leandro","SLN"
81204,1,4,"Union City","UNC"
2252,13,4,"Antioch","ANT"
8142,13,4,"Brentwood","BTWD"
